Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2007-04-29 19:00:00.000 +0200,Partly Cloudy,rain,17.27777778,17.27777778,0.54,21.4291,30,11.2056,0,1010.8,Partly cloudy until night.
2009-01-26 07:00:00.000 +0100,Overcast,rain,2.255555556,-0.288888889,0.92,8.7906,357,6.2146,0,1003.8,Foggy starting in the evening.
2009-07-09 16:00:00.000 +0200,Mostly Cloudy,rain,25,25,0.33,11.27,310,9.982,0,1014.2,Partly cloudy throughout the day.
2006-09-27 09:00:00.000 +0200,Mostly Cloudy,rain,16.97222222,16.97222222,0.76,4.9749,12,9.982,0,1013.17,Mostly cloudy throughout the day.
2008-08-22 10:00:00.000 +0200,Clear,rain,27.75555556,27.84444444,0.46,9.4346,89,9.982,0,1016.47,Partly cloudy starting in the afternoon continuing until evening.
2008-04-01 14:00:00.000 +0200,Mostly Cloudy,rain,13.01666667,13.01666667,0.48,15.7619,351,9.982,0,1016.87,Mostly cloudy starting in the morning.
2014-01-22 04:00:00.000 +0100,Overcast,rain,4.388888889,0.416666667,0.87,19.1912,300,14.9569,0,1008.14,Mostly cloudy throughout the day.
2009-10-28 06:00:00.000 +0100,Partly Cloudy,rain,7.222222222,7.222222222,0.93,3.22,290,4.025,0,1020.7,Mostly cloudy starting overnight.
2014-12-09 04:00:00.000 +0100,Foggy,rain,3.994444444,0.266666667,0.93,16.6635,29,2.1574,0,1016.5,Foggy until morning.
2010-04-04 20:00:00.000 +0200,Overcast,rain,14.08888889,14.08888889,0.5,4.7495,108,10.3523,0,1017.37,Mostly cloudy throughout the day.
2009-02-15 07:00:00.000 +0100,Overcast,snow,-1.077777778,-6.127777778,0.99,17.2109,320,3.5742,0,1018.25,Foggy starting overnight continuing until morning.
2015-12-25 00:00:00.000 +0100,Foggy,rain,1.694444444,-0.111111111,0.96,6.118,121,0.161,0,1032,Foggy throughout the day.
2015-12-10 18:00:00.000 +0100,Overcast,rain,5.022222222,3.216666667,0.86,7.8407,350,6.1985,0,1035.64,Foggy until morning.
